1c34e6db-493b-4040-b7bf-1709e6017f9f; AMAZON; Listing status must be between 1 and 3 
050ad550-9d5d-4ec1-a7bc-d8b432314b64; EBAY; Upload time is required 
050ad550-9d5d-4ec1-a7bc-d8b432314b64; EBAY; Listing price must be positive 
0abe17b7-c6de-4c1f-ac59-db150f5899af; EBAY; Listing price must be positive 
35cc3657-5720-4e8c-bda8-d8a5d83e2872; AMAZON; Owner email address must be a valid email address 
35cc3657-5720-4e8c-bda8-d8a5d83e2872; AMAZON; Listing status must be between 1 and 3 
1ad83469-481b-4434-91cb-2ccdce90d56f; EBAY; Listing status must be between 1 and 3 
4f2d21b1-61a2-44e6-876e-ea1f8811d6ab; EBAY; Listing status must be between 1 and 3 
a87cacae-0cae-41d3-b382-70f4d29447b4; AMAZON; Owner email address must be a valid email address 
a051c8c9-6ab6-4b5e-ac9c-59f3b0bb81de; EBAY; Listing price must be positive 
a468a3a6-2a55-4e61-a328-200d13e736c8; AMAZON; Upload time is required 
b130eee6-6464-49df-8534-d0b343d16865; AMAZON; Listing price must be positive 
04e7b709-5b7c-40ce-b50e-7c4d491f00f3; EBAY; Upload time is required 
75cb5858-ac0e-4dbe-a8b4-3db3a38124ac; AMAZON; Owner email address must be a valid email address 
5b677c9c-8e06-4035-8999-497c5d016bb0; AMAZON; Listing price must be positive 
5b677c9c-8e06-4035-8999-497c5d016bb0; AMAZON; Listing status must be between 1 and 3 
746aad01-487c-4fa4-9cdb-5e112e54e1d6; AMAZON; Listing price must be positive 
746aad01-487c-4fa4-9cdb-5e112e54e1d6; AMAZON; Listing status must be between 1 and 3 
0a3c1cc6-cdad-4ddb-8e04-125ed6840fc1; AMAZON; Owner email address must be a valid email address 
17f0df25-31d0-4b47-a6a4-08b2eec31722; AMAZON; Listing price must be positive 
474439e2-2865-47fa-93fb-e7b5b9c029d3; EBAY; Listing status must be between 1 and 3 
2bd73efe-ee22-4078-8029-629b5eb4d4c7; AMAZON; Upload time is required 
0886576d-7b54-4000-b30e-f8196463fdea; AMAZON; Listing price must be positive 
